     2    0.11379E+04    0.47968E-01    0.33814E+01
     3    0.10722E+04    0.79533E-01    0.42251E+01
     4    0.10078E+04    0.90974E-01    0.43466E+01
     5    0.95734E+03    0.82284E-01    0.40360E+01
     6    0.92060E+03    0.62055E-01    0.35344E+01
     7    0.89538E+03    0.40242E-01    0.29756E+01
     8    0.87869E+03    0.23423E-01    0.24306E+01
     9    0.86848E+03    0.13516E-01    0.19582E+01
    10    0.86341E+03    0.91299E-02    0.15911E+01
    11    0.86213E+03    0.77127E-02    0.13354E+01
    12    0.86461E+03    0.72157E-02    0.11845E+01
    13    0.86905E+03    0.67336E-02    0.11189E+01
    14    0.87473E+03    0.60257E-02    0.11188E+01
    15    0.88199E+03    0.53729E-02    0.11638E+01
    16    0.89116E+03    0.51155E-02    0.12342E+01
    17    0.90199E+03    0.53807E-02    0.13133E+01
    18    0.91340E+03    0.60031E-02    0.13887E+01
    19    0.92649E+03    0.67065E-02    0.14563E+01
    20    0.93980E+03    0.73010E-02    0.15122E+01
    21    0.95349E+03    0.77832E-02    0.15587E+01
    22    0.96761E+03    0.82906E-02    0.15974E+01
    23    0.98196E+03    0.89964E-02    0.16318E+01
    24    0.99663E+03    0.10018E-01    0.16658E+01
    25    0.10116E+04    0.11379E-01    0.17024E+01
    26    0.10268E+04    0.13037E-01    0.17449E+01
    27    0.10424E+04    0.14931E-01    0.17919E+01
    28    0.10581E+04    0.17032E-01    0.18418E+01
    29    0.10741E+04    0.19337E-01    0.18924E+01
    30    0.10905E+04    0.21860E-01    0.19399E+01
    31    0.11070E+04    0.24605E-01    0.19807E+01
    32    0.11237E+04    0.27554E-01    0.20117E+01
    33    0.11408E+04    0.30678E-01    0.20298E+01
    34    0.11582E+04    0.33960E-01    0.20331E+01
    35    0.11758E+04    0.37404E-01    0.20220E+01
    36    0.11936E+04    0.41034E-01    0.19966E+01
    37    0.12115E+04    0.44892E-01    0.19583E+01
    38    0.12297E+04    0.49023E-01    0.19101E+01
    39    0.12483E+04    0.53425E-01    0.18533E+01
    40    0.12669E+04    0.58092E-01    0.17879E+01
    41    0.12858E+04    0.63023E-01    0.17141E+01
    42    0.13047E+04    0.68231E-01    0.16314E+01
    43    0.13238E+04    0.73733E-01    0.15396E+01
    44    0.13429E+04    0.79529E-01    0.14391E+01
    45    0.13624E+04    0.85630E-01    0.13304E+01
